,0
mean_temp_depth,55 days 10:30:00
cv_temp,31 days 11:00:00
mean_condF_depth,64 days 22:00:00
cv_condF,21 days 20:00:00
mean_o2_depth,26 days 15:00:00
cv_o2,33 days 21:00:00
mean_o2ppm_depth,24 days 21:00:00
cv_o2ppm,26 days 23:00:00
mean_ph_depth,30 days 15:00:00
cv_ph,53 days 05:00:00
mean_chla_depth,45 days 15:00:00
cv_chla,15 days 19:00:00
mean_turb_depth,46 days 02:00:00
mean_par_depth,6 days 19:00:00
cv_par,6 days 06:00:00
mean_cloud_cover,2 days 21:00:00
mean_global_radiation,8 days 03:00:00
atmospheric_pressure_max,5 days 05:00:00
atmospheric_pressure_min,5 days 09:00:00
atmospheric_pressure_mean,5 days 05:00:00
temp_max,13 days 07:00:00
temp_min,20 days 22:00:00
temp_mean,18 days 17:00:00
precipitation_tot,4 days 14:00:00
rel_air_humidity_max,4 days 22:00:00
rel_air_humidity_min,4 days 03:00:00
rel_air_humidity_mean,4 days 09:00:00
sunshine_duration,3 days 06:00:00
windspeed_mean,4 days 07:00:00
windspeed_max,3 days 22:00:00
wind_direction_mean,2 days 02:00:00
mean_global_radiation_GR,4 days 03:00:00
atmospheric_pressure_max_GR,4 days 07:00:00
atmospheric_pressure_min_GR,4 days 07:00:00
atmospheric_pressure_mean_GR,4 days 07:00:00
temp_max_GR,17 days 09:00:00
temp_min_GR,19 days 02:00:00
temp_mean_GR,18 days 05:00:00
precipitation_tot_GR,11 days 13:00:00
rel_air_humidity_max_GR,3 days 06:00:00
rel_air_humidity_min_GR,3 days 04:00:00
rel_air_humidity_mean_GR,3 days 05:00:00
windspeed_mean_GR,1 days 15:00:00
windspeed_max_GR,1 days 18:00:00
wind_direction_mean_GR,1 days 05:00:00
Nitrat,62 days 04:00:00
Nitrit,79 days 02:00:00
Ammonium,76 days 01:00:00
oP,101 days 09:00:00
TP,56 days 06:00:00
TN,53 days 02:00:00
thermocline,56 days 12:00:00
schmidt_stability,54 days 18:00:00
epi_temp,49 days 16:00:00
mixed_layer_depth,21 days 10:00:00
ml_irradiance,4 days 22:00:00
oxycline_depth,41 days 21:00:00
asplanchna,24 days 17:00:00
asterionella,139 days 13:00:00
brachionus,38 days 10:00:00
diatom_chain,22 days 07:30:00
dinobryon,54 days 11:30:00
dirt,34 days 08:00:00
eudiaptomus,9 days 21:00:00
filament,448 days 18:00:00
kellikottia,28 days 06:00:00
keratella_quadrata,32 days 15:00:00
maybe_cyano,243 days 00:00:00
nauplius,15 days 19:00:00
polyarthra,103 days 01:00:00
rotifers,16 days 12:00:00
synchaeta,46 days 19:00:00
unknown,28 days 21:00:00
unknown_plankton,7 days 23:00:00
ceratium,38 days 20:00:00
cyclops,9 days 22:00:00
fragilaria,136 days 18:30:00
keratella_cochlearis,97 days 17:00:00
paradileptus,45 days 11:30:00
bosmina,5 days 06:00:00
copepod_skins,1 days 20:00:00
daphnia,10 days 22:00:00
trichocerca,55 days 19:00:00
conochilus,6 days 21:00:00
diaphanosoma,80 days 09:00:00
fish,17 days 08:00:00
uroglena,105 days 11:00:00
leptodora,39 days 22:00:00
daphnia_skins,2 days 00:00:00
hydra,50 days 09:00:00
chaoborus,16 days 15:00:00
aphanizomenon,178 days 00:00:00
cluster_1,27 days 04:00:00
cluster_2,48 days 00:00:00
cluster_3,23 days 04:00:00
cluster_4,35 days 19:00:00
cluster_5,35 days 09:00:00
cluster_6,66 days 17:00:00
cluster_7,83 days 10:00:00
cluster_8,9 days 09:00:00
diatom,107 days 05:00:00
ciliate,15 days 10:00:00
year,182 days 18:30:00
month,103 days 03:00:00
day,8 days 08:00:00
