,0
mean_temp_depth,46 days 03:00:00
cv_temp,9 days 15:00:00
mean_condF_depth,49 days 03:00:00
cv_condF,8 days 18:00:00
mean_o2_depth,8 days 15:00:00
cv_o2,10 days 00:00:00
mean_o2ppm_depth,9 days 00:00:00
cv_o2ppm,9 days 18:00:00
mean_ph_depth,24 days 06:00:00
cv_ph,24 days 21:00:00
mean_chla_depth,28 days 00:00:00
cv_chla,4 days 15:00:00
mean_turb_depth,36 days 06:00:00
mean_par_depth,0 days 12:00:00
cv_par,0 days 15:00:00
mean_cloud_cover,3 days 00:00:00
mean_global_radiation,6 days 00:00:00
atmospheric_pressure_max,5 days 00:00:00
atmospheric_pressure_min,5 days 00:00:00
atmospheric_pressure_mean,5 days 00:00:00
temp_max,11 days 00:00:00
temp_min,16 days 00:00:00
temp_mean,16 days 00:00:00
precipitation_tot,5 days 00:00:00
rel_air_humidity_max,4 days 12:00:00
rel_air_humidity_min,4 days 00:00:00
rel_air_humidity_mean,4 days 00:00:00
sunshine_duration,3 days 00:00:00
windspeed_mean,4 days 00:00:00
windspeed_max,4 days 00:00:00
wind_direction_mean,2 days 00:00:00
mean_global_radiation_GR,0 days 09:00:00
atmospheric_pressure_max_GR,3 days 03:00:00
atmospheric_pressure_min_GR,3 days 02:00:00
atmospheric_pressure_mean_GR,3 days 03:00:00
temp_max_GR,2 days 19:00:00
temp_min_GR,2 days 18:00:00
temp_mean_GR,2 days 20:00:00
precipitation_tot_GR,7 days 14:00:00
rel_air_humidity_max_GR,0 days 10:00:00
rel_air_humidity_min_GR,0 days 10:00:00
rel_air_humidity_mean_GR,0 days 10:00:00
windspeed_mean_GR,0 days 06:00:00
windspeed_max_GR,0 days 07:00:00
wind_direction_mean_GR,0 days 04:00:00
Nitrat,71 days 00:00:00
Nitrit,74 days 00:00:00
Ammonium,75 days 12:00:00
oP,132 days 00:00:00
TP,63 days 00:00:00
TN,72 days 00:00:00
thermocline,8 days 03:00:00
schmidt_stability,43 days 18:00:00
epi_temp,37 days 21:00:00
mixed_layer_depth,8 days 15:00:00
ml_irradiance,1 days 00:00:00
oxycline_depth,30 days 00:00:00
asplanchna,1 days 00:00:00
asterionella,87 days 03:30:00
brachionus,2 days 11:00:00
diatom_chain,7 days 19:00:00
dinobryon,43 days 08:00:00
dirt,9 days 06:00:00
eudiaptomus,0 days 07:00:00
filament,210 days 08:00:00
kellikottia,0 days 08:00:00
keratella_quadrata,1 days 04:00:00
maybe_cyano,132 days 10:00:00
nauplius,2 days 12:00:00
polyarthra,2 days 01:30:00
rotifers,4 days 21:00:00
synchaeta,1 days 07:00:00
unknown,8 days 10:00:00
unknown_plankton,0 days 14:00:00
ceratium,5 days 01:00:00
cyclops,0 days 14:00:00
fragilaria,95 days 15:30:00
keratella_cochlearis,21 days 06:00:00
paradileptus,3 days 07:00:00
bosmina,2 days 02:00:00
copepod_skins,0 days 05:00:00
daphnia,0 days 13:00:00
trichocerca,2 days 23:00:00
conochilus,0 days 11:00:00
diaphanosoma,1 days 23:00:00
fish,8 days 03:00:00
uroglena,83 days 19:00:00
leptodora,19 days 13:30:00
daphnia_skins,0 days 09:00:00
hydra,0 days 05:00:00
chaoborus,6 days 00:00:00
aphanizomenon,47 days 05:00:00
cluster_1,9 days 16:00:00
cluster_2,21 days 17:00:00
cluster_3,9 days 23:00:00
cluster_4,11 days 11:00:00
cluster_5,8 days 09:00:00
cluster_6,6 days 19:00:00
cluster_7,37 days 14:00:00
cluster_8,0 days 08:00:00
diatom,34 days 08:30:00
ciliate,0 days 04:00:00
year,182 days 18:30:00
month,103 days 03:00:00
day,8 days 08:00:00
